"Q_Honda Nodes and Reaches","0 \ Headflow","1 \ Q_El_J Runoff","2 \ Reach"
"1 Apr 1994", ,0.459576,0.459576
"1 May 1994", ,0.40958,0.40958
"1 Jun 1994", ,0.416084,0.416084
"1 Jul 1994", ,0.363494,0.363494
"1 Aug 1994", ,0.334806,0.334806
"1 Sep 1994", ,0.320834,0.320834
"1 Oct 1994", ,0.289563,0.289563
"1 Nov 1994", ,0.281249,0.281249
"1 Dec 1994", ,0.257231,0.257231
"1 Jan 1995", ,0.243429,0.243429
"1 Feb 1995", ,0.254801,0.254801
"1 Mar 1995", ,0.216352,0.216352
"1 Apr 1995", ,0.208674,0.208674
"1 May 1995", ,0.187718,0.187718
"1 Jun 1995", ,0.180022,0.180022
"1 Jul 1995", ,0.162166,0.162166
"1 Aug 1995", ,0.151425,0.151425
"1 Sep 1995", ,0.147769,0.147769
"1 Oct 1995", ,0.134867,0.134867
"1 Nov 1995", ,0.132051,0.132051
"1 Dec 1995", ,0.1219,0.1219
"1 Jan 1996", ,0.116452,0.116452
"1 Feb 1996", ,0.118561,0.118561
"1 Mar 1996", ,0.104922,0.104922
"1 Apr 1996", ,0.103162,0.103162
"1 May 1996", ,0.0940375,0.0940375
"1 Jun 1996", ,0.0911227,0.0911227
"1 Jul 1996", ,0.0826632,0.0826632
"1 Aug 1996", ,0.083657,0.083657
"1 Sep 1996", ,0.0847816,0.0847816
"1 Oct 1996", ,0.0776142,0.0776142
"1 Nov 1996", ,0.0763742,0.0763742
"1 Dec 1996", ,0.0708128,0.0708128
"1 Jan 1997", ,0.0679025,0.0679025
"1 Feb 1997", ,0.0718684,0.0718684
"1 Mar 1997", ,0.0616051,0.0616051
"1 Apr 1997", ,0.059914,0.059914
"1 May 1997", ,0.0543395,0.0543395
"1 Jun 1997", ,0.203789,0.203789
"1 Jul 1997", ,0.23287,0.23287
"1 Aug 1997", ,1.1406,1.1406
"1 Sep 1997", ,0.61353,0.61353
"1 Oct 1997", ,0.575743,0.575743
"1 Nov 1997", ,0.528503,0.528503
"1 Dec 1997", ,0.478887,0.478887
"1 Jan 1998", ,0.448663,0.448663
"1 Feb 1998", ,0.465133,0.465133
"1 Mar 1998", ,0.391521,0.391521
"1 Apr 1998", ,0.379417,0.379417
"1 May 1998", ,0.337484,0.337484
"1 Jun 1998", ,0.413927,0.413927
"1 Jul 1998", ,0.372088,0.372088
"1 Aug 1998", ,0.329886,0.329886
"1 Sep 1998", ,0.317183,0.317183
"1 Oct 1998", ,0.286789,0.286789
"1 Nov 1998", ,0.278592,0.278592
"1 Dec 1998", ,0.255057,0.255057
"1 Jan 1999", ,0.241667,0.241667
"1 Feb 1999", ,0.253141,0.253141
"1 Mar 1999", ,0.221231,0.221231
"1 Apr 1999", ,0.213154,0.213154
"1 May 1999", ,0.193767,0.193767
"1 Jun 1999", ,0.205706,0.205706
"1 Jul 1999", ,0.190381,0.190381
"1 Aug 1999", ,0.182687,0.182687
"1 Sep 1999", ,0.191647,0.191647
"1 Oct 1999", ,0.186415,0.186415
"1 Nov 1999", ,0.182526,0.182526
"1 Dec 1999", ,0.168031,0.168031
"1 Jan 2000", ,0.160007,0.160007
"1 Feb 2000", ,0.162488,0.162488
"1 Mar 2000", ,0.143471,0.143471
"1 Apr 2000", ,0.139007,0.139007
"1 May 2000", ,0.175808,0.175808
"1 Jun 2000", ,0.311433,0.311433
"1 Jul 2000", ,0.336702,0.336702
"1 Aug 2000", ,0.290852,0.290852
"1 Sep 2000", ,0.284063,0.284063
"1 Oct 2000", ,0.256431,0.256431
"1 Nov 2000", ,0.249733,0.249733
"1 Dec 2000", ,0.228979,0.228979
"1 Jan 2001", ,0.217223,0.217223
"1 Feb 2001", ,0.227748,0.227748
"1 Mar 2001", ,0.205964,0.205964
"1 Apr 2001", ,0.198186,0.198186
"1 May 2001", ,0.178678,0.178678
"1 Jun 2001", ,0.172066,0.172066
"1 Jul 2001", ,0.155137,0.155137
"1 Aug 2001", ,0.176271,0.176271
"1 Sep 2001", ,0.174209,0.174209
"1 Oct 2001", ,0.158616,0.158616
"1 Nov 2001", ,0.155069,0.155069
"1 Dec 2001", ,0.144148,0.144148
"1 Jan 2002", ,0.137582,0.137582
"1 Feb 2002", ,0.144916,0.144916
"1 Mar 2002", ,0.123572,0.123572
"1 Apr 2002", ,0.14995,0.14995
"1 May 2002", ,0.331566,0.331566
"1 Jun 2002", ,0.363993,0.363993
"1 Jul 2002", ,0.5268,0.5268
"1 Aug 2002", ,0.69981,0.69981
"1 Sep 2002", ,0.490799,0.490799
"1 Oct 2002", ,0.440435,0.440435
"1 Nov 2002", ,0.425108,0.425108
"1 Dec 2002", ,0.386884,0.386884
"1 Jan 2003", ,0.364239,0.364239
"1 Feb 2003", ,0.379088,0.379088
"1 Mar 2003", ,0.320042,0.320042
"1 Apr 2003", ,0.307206,0.307206
"1 May 2003", ,0.282325,0.282325
"1 Jun 2003", ,0.267816,0.267816
"1 Jul 2003", ,0.24019,0.24019
"1 Aug 2003", ,0.222863,0.222863
"1 Sep 2003", ,0.214492,0.214492
"1 Oct 2003", ,0.194537,0.194537
"1 Nov 2003", ,0.189666,0.189666
"1 Dec 2003", ,0.174284,0.174284
"1 Jan 2004", ,0.16575,0.16575
"1 Feb 2004", ,0.168123,0.168123
"1 Mar 2004", ,0.150243,0.150243
"1 Apr 2004", ,0.145863,0.145863
"1 May 2004", ,0.136347,0.136347
"1 Jun 2004", ,0.132587,0.132587
"1 Jul 2004", ,0.255111,0.255111
"1 Aug 2004", ,0.241166,0.241166
"1 Sep 2004", ,0.232382,0.232382
"1 Oct 2004", ,0.210893,0.210893
"1 Nov 2004", ,0.205713,0.205713
"1 Dec 2004", ,0.188868,0.188868
"1 Jan 2005", ,0.179473,0.179473
"1 Feb 2005", ,0.188607,0.188607
"1 Mar 2005", ,0.160603,0.160603
"1 Apr 2005", ,0.165784,0.165784
"1 May 2005", ,0.150915,0.150915
"1 Jun 2005", ,0.145217,0.145217
"1 Jul 2005", ,0.154073,0.154073
"1 Aug 2005", ,0.183764,0.183764
"1 Sep 2005", ,0.186681,0.186681
"1 Oct 2005", ,0.170328,0.170328
"1 Nov 2005", ,0.166559,0.166559
"1 Dec 2005", ,0.153288,0.153288
"1 Jan 2006", ,0.145902,0.145902
"1 Feb 2006", ,0.153449,0.153449
"1 Mar 2006", ,0.130781,0.130781
"1 Apr 2006", ,0.12661,0.12661
"1 May 2006", ,0.114405,0.114405
"1 Jun 2006", ,0.110343,0.110343
"1 Jul 2006", ,0.102963,0.102963
"1 Aug 2006", ,0.0974966,0.0974966
"1 Sep 2006", ,0.0945598,0.0945598
"1 Oct 2006", ,0.0863844,0.0863844
"1 Nov 2006", ,0.0848916,0.0848916
"1 Dec 2006", ,0.0786007,0.0786007
"1 Jan 2007", ,0.075264,0.075264
"1 Feb 2007", ,0.0796631,0.0796631
"1 Mar 2007", ,0.0683289,0.0683289
"1 Apr 2007", ,0.0665027,0.0665027
"1 May 2007", ,0.0604932,0.0604932
"1 Jun 2007", ,0.059196,0.059196
"1 Jul 2007", ,0.0540916,0.0540916
"1 Aug 2007", ,0.05093,0.05093
"1 Sep 2007", ,0.0498021,0.0498021
"1 Oct 2007", ,0.0457818,0.0457818
"1 Nov 2007", ,0.0451833,0.0451833
"1 Dec 2007", ,0.0419934,0.0419934
"1 Jan 2008", ,0.0403812,0.0403812
"1 Feb 2008", ,0.0413785,0.0413785
"1 Mar 2008", ,0.0368253,0.0368253
"1 Apr 2008", ,0.0359596,0.0359596
"1 May 2008", ,0.0356781,0.0356781
"1 Jun 2008", ,0.0429228,0.0429228
"1 Jul 2008", ,0.0543369,0.0543369
"1 Aug 2008", ,0.059067,0.059067
"1 Sep 2008", ,0.0639545,0.0639545
"1 Oct 2008", ,0.0628592,0.0628592
"1 Nov 2008", ,0.061924,0.061924
"1 Dec 2008", ,0.0574208,0.0574208
"1 Jan 2009", ,0.0550672,0.0550672
"1 Feb 2009", ,0.0583329,0.0583329
"1 Mar 2009", ,0.0500306,0.0500306
"1 Apr 2009", ,0.0486497,0.0486497
"1 May 2009", ,0.0455604,0.0455604
"1 Jun 2009", ,0.0452577,0.0452577
"1 Jul 2009", ,0.0460962,0.0460962
"1 Aug 2009", ,0.0471154,0.0471154
"1 Sep 2009", ,0.0459171,0.0459171
"1 Oct 2009", ,0.0421502,0.0421502
"1 Nov 2009", ,0.0415502,0.0415502
"1 Dec 2009", ,0.0385966,0.0385966
"1 Jan 2010", ,0.0370857,0.0370857
"1 Feb 2010", ,0.0393608,0.0393608
"1 Mar 2010", ,0.03384,0.03384
"1 Apr 2010", ,0.0347932,0.0347932
"1 May 2010", ,0.106942,0.106942
"1 Jun 2010", ,0.147618,0.147618
"1 Jul 2010", ,0.14852,0.14852
"1 Aug 2010", ,0.164321,0.164321
"1 Sep 2010", ,0.18194,0.18194
"1 Oct 2010", ,0.167201,0.167201
"1 Nov 2010", ,0.163522,0.163522
"1 Dec 2010", ,0.150628,0.150628
"1 Jan 2011", ,0.143522,0.143522
"1 Feb 2011", ,0.151068,0.151068
"1 Mar 2011", ,0.128881,0.128881
"1 Apr 2011", ,0.124895,0.124895
"1 May 2011", ,0.113023,0.113023
"1 Jun 2011", ,0.153269,0.153269
"1 Jul 2011", ,0.23757,0.23757
"1 Aug 2011", ,0.221966,0.221966
"1 Sep 2011", ,0.213882,0.213882
"1 Oct 2011", ,0.202646,0.202646
"1 Nov 2011", ,0.197456,0.197456
"1 Dec 2011", ,0.181378,0.181378
"1 Jan 2012", ,0.172378,0.172378
"1 Feb 2012", ,0.174737,0.174737
"1 Mar 2012", ,0.153866,0.153866
"1 Apr 2012", ,0.163832,0.163832
"1 May 2012", ,0.149851,0.149851
"1 Jun 2012", ,0.14405,0.14405
"1 Jul 2012", ,0.130028,0.130028
"1 Aug 2012", ,0.1264,0.1264
"1 Sep 2012", ,0.12399,0.12399
"1 Oct 2012", ,0.113163,0.113163
"1 Nov 2012", ,0.111035,0.111035
"1 Dec 2012", ,0.102559,0.102559
"1 Jan 2013", ,0.0979708,0.0979708
"1 Feb 2013", ,0.103404,0.103404
"1 Mar 2013", ,0.0884457,0.0884457
"1 Apr 2013", ,0.0859132,0.0859132
"1 May 2013", ,0.115014,0.115014
"1 Jun 2013", ,0.127439,0.127439
"1 Jul 2013", ,0.125609,0.125609
"1 Aug 2013", ,0.120464,0.120464
"1 Sep 2013", ,0.116674,0.116674
"1 Oct 2013", ,0.106492,0.106492
"1 Nov 2013", ,0.104723,0.104723
"1 Dec 2013", ,0.0968705,0.0968705
"1 Jan 2014", ,0.0925788,0.0925788
"1 Feb 2014", ,0.0978113,0.0978113
"1 Mar 2014", ,0.0837799,0.0837799
"1 Apr 2014", ,0.0814807,0.0814807
"1 May 2014", ,0.0873059,0.0873059
"1 Jun 2014", ,0.112514,0.112514
"1 Jul 2014", ,0.112782,0.112782
"1 Aug 2014", ,0.106209,0.106209
"1 Sep 2014", ,0.122665,0.122665
"1 Oct 2014", ,0.119062,0.119062
"1 Nov 2014", ,0.116763,0.116763
"1 Dec 2014", ,0.107833,0.107833
"1 Jan 2015", ,0.103018,0.103018
"1 Feb 2015", ,0.108686,0.108686
"1 Mar 2015", ,0.185972,0.185972
"1 Apr 2015", ,0.198177,0.198177
"1 May 2015", ,0.178199,0.178199
"1 Jun 2015", ,0.17105,0.17105
"1 Jul 2015", ,0.237938,0.237938
"1 Aug 2015", ,0.476359,0.476359
"1 Sep 2015", ,0.370627,0.370627
"1 Oct 2015", ,0.381403,0.381403
"1 Nov 2015", ,0.34906,0.34906
"1 Dec 2015", ,0.318202,0.318202
"1 Jan 2016", ,0.300077,0.300077
"1 Feb 2016", ,0.302168,0.302168
"1 Mar 2016", ,0.266271,0.266271
"1 Apr 2016", ,0.309451,0.309451
"1 May 2016", ,0.619654,0.619654
"1 Jun 2016", ,0.729178,0.729178
"1 Jul 2016", ,0.501919,0.501919
"1 Aug 2016", ,0.457243,0.457243
"1 Sep 2016", ,0.436983,0.436983
"1 Oct 2016", ,0.392272,0.392272
"1 Nov 2016", ,0.378464,0.378464
"1 Dec 2016", ,0.361025,0.361025
"1 Jan 2017", ,0.333474,0.333474
"1 Feb 2017", ,0.347658,0.347658
"1 Mar 2017", ,0.294014,0.294014
"1 Apr 2017", ,0.282612,0.282612
"1 May 2017", ,2.00232,2.00232
"1 Jun 2017", ,1.06333,1.06333
"1 Jul 2017", ,0.721826,0.721826
"1 Aug 2017", ,0.90541,0.90541
"1 Sep 2017", ,0.677635,0.677635
"1 Oct 2017", ,0.605514,0.605514
"1 Nov 2017", ,0.581682,0.581682
"1 Dec 2017", ,0.526714,0.526714
"1 Jan 2018", ,0.492932,0.492932
"1 Feb 2018", ,0.510669,0.510669
"1 Mar 2018", ,0.437888,0.437888
"1 Apr 2018", ,0.423368,0.423368
"1 May 2018", ,0.385271,0.385271
"1 Jun 2018", ,0.45463,0.45463
"1 Jul 2018", ,0.399294,0.399294
"1 Aug 2018", ,0.368457,0.368457
"1 Sep 2018", ,0.349404,0.349404
"1 Oct 2018", ,0.315338,0.315338
"1 Nov 2018", ,0.305489,0.305489
"1 Dec 2018", ,0.279904,0.279904
"1 Jan 2019", ,0.264457,0.264457
"1 Feb 2019", ,0.276408,0.276408
"1 Mar 2019", ,0.234354,0.234354
